population,short.description,year,group,total,total.low.CI,total.high.CI,male,male.low.CI,male.high.CI,female,female.low.CI,female.high.CI,estimated.number,estimated.number.low.CI,estimated.number.high.CI
adults,Mean number of practice nurse visits,2013,Pacific,0.6,0.4,0.8,0.4,0.2,0.5,0.7,0.4,1.1,NA,NA,NA
adults,Mean number of practice nurse visits,2013,Asian,0.3,0.2,0.5,0.2,0.1,0.2,0.5,0.3,0.7,NA,NA,NA
adults,Mean number of practice nurse visits,2013,European/Other,0.7,0.7,0.8,0.6,0.5,0.7,0.8,0.8,0.9,NA,NA,NA
adults,Mean number of practice nurse visits,2013,Quintile 1,0.6,0.5,0.7,0.5,0.4,0.7,0.6,0.5,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2013,Quintile 2,0.7,0.5,0.8,0.7,0.4,0.9,0.7,0.6,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2013,Quintile 3,0.7,0.6,0.8,0.6,0.4,0.7,0.9,0.8,1.1,NA,NA,NA
adults,Mean number of practice nurse visits,2013,Quintile 4,0.7,0.6,0.8,0.6,0.5,0.7,0.8,0.7,0.9,NA,NA,NA
adults,Mean number of practice nurse visits,2013,Quintile 5,0.8,0.7,0.9,0.5,0.4,0.6,1,0.8,1.2,NA,NA,NA
adults,Mean number of practice nurse visits,2014,Total,0.7,0.6,0.8,0.6,0.5,0.7,0.8,0.7,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2014,15-24,0.4,0.3,0.5,0.2,0.2,0.3,0.6,0.5,0.7,NA,NA,NA
adults,Mean number of practice nurse visits,2014,25-34,0.4,0.4,0.5,0.2,0.1,0.3,0.7,0.5,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2014,35-44,0.5,0.4,0.6,0.4,0.2,0.5,0.6,0.5,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2014,45-54,0.6,0.5,0.7,0.5,0.4,0.7,0.7,0.6,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2014,55-64,0.8,0.7,0.8,0.7,0.6,0.9,0.8,0.7,0.9,NA,NA,NA
adults,Mean number of practice nurse visits,2014,65-74,1.1,1,1.2,1,0.8,1.1,1.2,1,1.4,NA,NA,NA
adults,Mean number of practice nurse visits,2014,75+,1.8,1.2,2.4,2.4,1,3.8,1.4,1.1,1.6,NA,NA,NA
adults,Mean number of practice nurse visits,2014,Maori,0.8,0.7,0.9,0.6,0.5,0.8,1,0.9,1.2,NA,NA,NA
adults,Mean number of practice nurse visits,2014,Pacific,0.5,0.4,0.6,0.4,0.2,0.6,0.5,0.4,0.7,NA,NA,NA
adults,Mean number of practice nurse visits,2014,Asian,0.3,0.2,0.5,0.3,0,0.6,0.3,0.2,0.4,NA,NA,NA
adults,Mean number of practice nurse visits,2014,European/Other,0.7,0.7,0.8,0.6,0.5,0.8,0.8,0.8,0.9,NA,NA,NA
adults,Mean number of practice nurse visits,2014,Quintile 1,0.6,0.5,0.7,0.5,0.3,0.6,0.7,0.6,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2014,Quintile 2,0.5,0.5,0.6,0.5,0.4,0.5,0.6,0.5,0.7,NA,NA,NA
adults,Mean number of practice nurse visits,2014,Quintile 3,0.8,0.6,1,0.7,0.3,1,0.8,0.7,1,NA,NA,NA
adults,Mean number of practice nurse visits,2014,Quintile 4,0.8,0.6,1,0.7,0.4,1.1,0.9,0.7,1,NA,NA,NA
adults,Mean number of practice nurse visits,2014,Quintile 5,0.8,0.7,0.9,0.7,0.5,0.8,1,0.8,1.1,NA,NA,NA
adults,Mean number of practice nurse visits,2015,Total,0.7,0.7,0.8,0.6,0.5,0.6,0.9,0.8,1,NA,NA,NA
adults,Mean number of practice nurse visits,2015,15-24,0.4,0.3,0.5,0.2,0.1,0.3,0.6,0.5,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2015,25-34,0.6,0.4,0.7,0.3,0.2,0.5,0.8,0.6,0.9,NA,NA,NA
adults,Mean number of practice nurse visits,2015,35-44,0.5,0.5,0.6,0.3,0.3,0.4,0.7,0.6,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2015,45-54,0.6,0.5,0.7,0.5,0.4,0.6,0.7,0.6,0.9,NA,NA,NA
adults,Mean number of practice nurse visits,2015,55-64,0.8,0.6,1,0.6,0.5,0.8,1,0.6,1.3,NA,NA,NA
adults,Mean number of practice nurse visits,2015,65-74,1.3,1.1,1.4,1.3,1.1,1.5,1.2,1,1.4,NA,NA,NA
adults,Mean number of practice nurse visits,2015,75+,1.4,1.2,1.6,1.3,1.1,1.6,1.5,1.2,1.8,NA,NA,NA
adults,Mean number of practice nurse visits,2015,Maori,0.8,0.7,1,0.6,0.5,0.8,1,0.9,1.2,NA,NA,NA
adults,Mean number of practice nurse visits,2015,Pacific,0.6,0.4,0.8,0.4,0.3,0.6,0.8,0.4,1.2,NA,NA,NA
adults,Mean number of practice nurse visits,2015,Asian,0.3,0.2,0.3,0.2,0.1,0.3,0.3,0.2,0.4,NA,NA,NA
adults,Mean number of practice nurse visits,2015,European/Other,0.8,0.7,0.8,0.6,0.6,0.7,0.9,0.8,1,NA,NA,NA
adults,Mean number of practice nurse visits,2015,Quintile 1,0.6,0.5,0.7,0.6,0.4,0.7,0.7,0.5,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2015,Quintile 2,0.7,0.5,0.8,0.4,0.3,0.5,0.9,0.6,1.2,NA,NA,NA
adults,Mean number of practice nurse visits,2015,Quintile 3,0.7,0.6,0.7,0.5,0.4,0.5,0.8,0.7,1,NA,NA,NA
adults,Mean number of practice nurse visits,2015,Quintile 4,0.9,0.7,1,0.8,0.6,1,0.9,0.8,1.1,NA,NA,NA
adults,Mean number of practice nurse visits,2015,Quintile 5,0.8,0.7,0.9,0.7,0.6,0.8,1,0.8,1.1,NA,NA,NA
adults,Mean number of practice nurse visits,2016,Total,0.7,0.7,0.7,0.6,0.5,0.6,0.8,0.8,0.9,NA,NA,NA
adults,Mean number of practice nurse visits,2016,15-24,0.4,0.4,0.5,0.2,0.2,0.3,0.6,0.5,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2016,25-34,0.4,0.4,0.5,0.2,0.1,0.2,0.7,0.6,0.7,NA,NA,NA
adults,Mean number of practice nurse visits,2016,35-44,0.5,0.5,0.6,0.3,0.2,0.4,0.7,0.6,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2016,45-54,0.7,0.6,0.8,0.6,0.4,0.7,0.7,0.6,0.9,NA,NA,NA
adults,Mean number of practice nurse visits,2016,55-64,0.9,0.7,1,0.7,0.6,0.9,1,0.7,1.2,NA,NA,NA
adults,Mean number of practice nurse visits,2016,65-74,1.2,1,1.3,1.2,0.9,1.4,1.2,1,1.4,NA,NA,NA
adults,Mean number of practice nurse visits,2016,75+,1.4,1.1,1.6,1.6,1.1,2.1,1.2,1,1.4,NA,NA,NA
adults,Mean number of practice nurse visits,2016,Maori,0.8,0.7,0.9,0.5,0.4,0.6,1,0.8,1.1,NA,NA,NA
adults,Mean number of practice nurse visits,2016,Pacific,0.5,0.4,0.6,0.4,0.2,0.6,0.5,0.4,0.7,NA,NA,NA
adults,Mean number of practice nurse visits,2016,Asian,0.3,0.2,0.3,0.2,0.1,0.2,0.4,0.3,0.4,NA,NA,NA
adults,Mean number of practice nurse visits,2016,European/Other,0.8,0.7,0.8,0.6,0.6,0.7,0.9,0.8,1,NA,NA,NA
adults,Mean number of practice nurse visits,2016,Quintile 1,0.6,0.5,0.7,0.5,0.4,0.6,0.6,0.5,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2016,Quintile 2,0.6,0.5,0.6,0.5,0.4,0.6,0.7,0.6,0.8,NA,NA,NA
adults,Mean number of practice nurse visits,2016,Quintile 3,0.8,0.6,0.9,0.7,0.4,0.9,0.9,0.8,1,NA,NA,NA
adults,Mean number of practice nurse visits,2016,Quintile 4,0.8,0.7,0.9,0.5,0.4,0.7,1,0.8,1.2,NA,NA,NA
adults,Mean number of practice nurse visits,2016,Quintile 5,0.8,0.7,0.9,0.6,0.5,0.8,0.9,0.7,1.1,NA,NA,NA
adults,Mood and/or anxiety disorder,2011,Total,16.3,15.4,17.2,11.9,10.8,13.1,20.3,18.9,21.8,568000,536000,601000
adults,Mood and/or anxiety disorder,2011,15-24,9.9,8.1,11.9,6.7,4.7,9.4,13.1,10.5,16.3,61000,51000,74000
adults,Mood and/or anxiety disorder,2011,25-34,16.8,14.7,19.1,12.7,10,16.1,20.5,17.5,23.9,91000,80000,104000
adults,Mood and/or anxiety disorder,2011,35-44,18.9,16.9,21.2,13.3,10.1,17.3,24,21.2,27.1,115000,102000,128000
adults,Mood and/or anxiety disorder,2011,45-54,18.9,16.8,21,15.1,12.5,18.3,22.3,19.5,25.5,117000,105000,131000
adults,Mood and/or anxiety disorder,2011,55-64,18.4,16.1,21,14.8,11.8,18.4,21.9,18.8,25.4,93000,81000,106000
adults,Mood and/or anxiety disorder,2011,65-74,17.4,15.1,20,11.2,8.7,14.3,23.3,19.6,27.5,58000,51000,67000
adults,Mood and/or anxiety disorder,2011,75+,12.4,10.1,15.1,7.4,5.2,10.4,16.1,12.5,20.3,32000,26000,39000
adults,Mood and/or anxiety disorder,2011,Maori,16.4,14.4,18.6,11.9,9.7,14.6,20.4,17.5,23.7,73000,64000,83000
adults,Mood and/or anxiety disorder,2011,Pacific,6.9,5.2,9.1,5.2,3,8.8,8.3,5.8,11.6,14000,10000,18000
adults,Mood and/or anxiety disorder,2011,Asian,4.4,2.8,6.4,1.9,0.8,3.9,6.6,4.2,10.2,16000,10000,24000
adults,Mood and/or anxiety disorder,2011,European/Other,18.6,17.5,19.7,13.7,12.4,15.1,23.3,21.6,25,512000,482000,543000
adults,Mood and/or anxiety disorder,2011,Quintile 1,14.1,12.1,16.4,11.2,8.9,14,17.2,14.3,20.5,102000,87000,118000
adults,Mood and/or anxiety disorder,2011,Quintile 2,15.8,13.7,18,11.2,8.9,14.1,20.3,17.3,23.7,112000,97000,128000
adults,Mood and/or anxiety disorder,2011,Quintile 3,16.6,14.6,18.8,10.5,8.4,13,22.3,19.1,25.9,116000,103000,132000
adults,Mood and/or anxiety disorder,2011,Quintile 4,18.2,15.9,20.6,12.3,9.8,15.3,23.3,20.4,26.5,126000,111000,144000
adults,Mood and/or anxiety disorder,2011,Quintile 5,16.7,14.8,18.9,15,12.6,17.7,18.2,15.6,21.1,111000,98000,125000
adults,Mood and/or anxiety disorder,2012,Total,16.4,15.6,17.3,12.7,11.6,13.8,19.9,18.8,21.1,578000,548000,610000
adults,Mood and/or anxiety disorder,2012,15-24,10.3,8.1,12.9,7.3,4.9,10.6,13.4,10.7,16.6,64000,51000,81000
adults,Mood and/or anxiety disorder,2012,25-34,17.6,15.6,19.7,13.5,10.7,17,21.4,18.6,24.4,96000,85000,108000
adults,Mood and/or anxiety disorder,2012,35-44,18.3,16.3,20.5,13.8,11.1,17.1,22.3,19.4,25.5,109000,97000,122000
adults,Mood and/or anxiety disorder,2012,45-54,18.8,17,20.8,13.6,11.3,16.3,23.7,21.1,26.5,117000,106000,130000
adults,Mood and/or anxiety disorder,2012,55-64,19.5,17.5,21.8,15.6,12.8,18.9,23.3,20.3,26.6,1.00E+05,89000,111000
adults,Mood and/or anxiety disorder,2012,65-74,17.1,15,19.5,14.4,11.2,18.4,19.7,16.7,23,61000,53000,69000
adults,Mood and/or anxiety disorder,2012,75+,11.8,10,13.9,11.6,8.8,15.2,12,9.7,14.7,31000,26000,37000
adults,Mood and/or anxiety disorder,2012,Maori,16.1,14.1,18.2,11.3,8.7,14.6,20.3,17.5,23.5,73000,64000,83000
adults,Mood and/or anxiety disorder,2012,Pacific,4.6,2.9,7,1.8,0.7,3.8,7,4.3,11.2,9000,6000,14000
adults,Mood and/or anxiety disorder,2012,Asian,5.9,4.3,8.1,3.6,2,6,8.3,5.3,12.8,22000,16000,31000
adults,Mood and/or anxiety disorder,2012,European/Other,19.1,18,20.2,15,13.6,16.4,22.9,21.6,24.2,516000,486000,547000
adults,Mood and/or anxiety disorder,2012,Quintile 1,15.8,13.9,17.9,12.4,9.8,15.6,19,16.4,21.9,113000,99000,128000
adults,Mood and/or anxiety disorder,2012,Quintile 2,14.4,12.3,16.8,10.8,8.9,13.1,18,15.1,21.2,104000,89000,121000
adults,Mood and/or anxiety disorder,2012,Quintile 3,15.9,14.1,17.8,11.7,9.6,14.1,19.9,17.4,22.8,114000,102000,128000
adults,Mood and/or anxiety disorder,2012,Quintile 4,18.5,16.5,20.7,15.4,13,18,21.5,19.1,24.1,131000,117000,147000
adults,Mood and/or anxiety disorder,2012,Quintile 5,17.6,15.4,20.1,13.3,10.8,16.3,21.2,18.4,24.3,116000,102000,132000
adults,Mood and/or anxiety disorder,2013,Total,18.6,17.7,19.4,13.6,12.5,14.8,23.2,22,24.4,664000,634000,695000
adults,Mood and/or anxiety disorder,2013,15-24,11.1,9,13.5,7.7,5,11.6,14.6,12.1,17.5,70000,57000,86000
adults,Mood and/or anxiety disorder,2013,25-34,17.7,15.5,20.1,12.2,9.6,15.3,22.9,19.8,26.2,99000,87000,113000
adults,Mood and/or anxiety disorder,2013,35-44,20.7,18.4,23.4,17.4,14.2,21.2,23.7,20.7,27.1,122000,108000,137000
adults,Mood and/or anxiety disorder,2013,45-54,23.8,21.4,26.4,18.9,16.1,22,28.4,24.6,32.6,150000,134000,166000
adults,Mood and/or anxiety disorder,2013,55-64,22.3,20.3,24.5,15.5,12.8,18.7,28.8,25.8,32,116000,105000,127000
adults,Mood and/or anxiety disorder,2013,65-74,18,16.1,20,12.2,9.7,15.3,23.4,20.6,26.5,67000,60000,74000
adults,Mood and/or anxiety disorder,2013,75+,14.8,12.6,17.2,8.9,5.9,13.3,19.1,15.4,23.5,40000,34000,47000
adults,Mood and/or anxiety disorder,2013,Maori,17.4,15.5,19.5,12.3,10.3,14.8,22,19.1,25.2,81000,72000,90000
adults,Mood and/or anxiety disorder,2013,Pacific,9.4,7,12.5,8.4,4.8,14.5,10.3,7.2,14.5,18000,13000,24000
adults,Mood and/or anxiety disorder,2013,Asian,6.7,5.2,8.6,4,2.6,5.9,9.3,7,12.4,28000,22000,36000
adults,Mood and/or anxiety disorder,2013,European/Other,21.4,20.3,22.4,15.6,14.2,17.1,26.7,25.2,28.2,588000,560000,617000
adults,Mood and/or anxiety disorder,2013,Quintile 1,16.6,13.9,19.6,11.9,8.7,16.2,20.8,17.5,24.5,120000,101000,142000
adults,Mood and/or anxiety disorder,2013,Quintile 2,18.4,16.5,20.4,13.4,11.3,15.8,23.4,20.1,27.1,134000,121000,149000
adults,Mood and/or anxiety disorder,2013,Quintile 3,20,18.1,22.1,15.6,12.7,19.1,24.2,21.8,26.9,148000,133000,163000
adults,Mood and/or anxiety disorder,2013,Quintile 4,19.6,18.2,21.1,13.7,11.8,15.8,25,22.7,27.4,139000,129000,150000
adults,Mood and/or anxiety disorder,2013,Quintile 5,18.3,16.6,20.1,13.4,11.6,15.5,22.6,20.2,25.3,123000,112000,135000
adults,Mood and/or anxiety disorder,2014,Total,17.4,16.6,18.3,12.2,11.1,13.3,22.4,21.3,23.5,636000,606000,668000
adults,Mood and/or anxiety disorder,2014,15-24,10.7,8.8,12.8,7.7,5.6,10.4,13.8,11.1,17,69000,58000,83000
adults,Mood and/or anxiety disorder,2014,25-34,17.3,15.3,19.6,11.1,8.6,14.2,23.3,20.3,26.7,102000,90000,115000
adults,Mood and/or anxiety disorder,2014,35-44,20,17.9,22.3,13.8,11.2,17,25.6,23,28.5,117000,105000,130000
adults,Mood and/or anxiety disorder,2014,45-54,20.5,18.3,22.9,15.1,12.9,17.7,25.5,22.1,29.3,129000,115000,145000
adults,Mood and/or anxiety disorder,2014,55-64,21.1,18.9,23.5,15.7,13,18.9,26.2,23.1,29.5,112000,1.00E+05,125000
adults,Mood and/or anxiety disorder,2014,65-74,17.6,15.1,20.5,11.8,8.4,16.4,23.1,18.9,27.9,68000,58000,79000
adults,Mood and/or anxiety disorder,2014,75+,13.7,11.5,16.2,9,6.4,12.5,17.2,14.3,20.5,38000,32000,45000
adults,Mood and/or anxiety disorder,2014,Maori,17.4,16,18.8,11.1,9.1,13.5,23,20.8,25.4,82000,76000,89000
adults,Mood and/or anxiety disorder,2014,Pacific,7.6,5.5,10.4,6.9,4.4,10.8,8.2,5.7,11.6,15000,11000,21000
adults,Mood and/or anxiety disorder,2014,Asian,5,3.7,6.8,3.1,1.4,6,6.9,5,9.6,22000,16000,29000
adults,Mood and/or anxiety disorder,2014,European/Other,20.2,19.2,21.3,14.2,12.8,15.7,26,24.6,27.4,569000,540000,599000
adults,Mood and/or anxiety disorder,2014,Quintile 1,16.7,14.3,19.4,11.2,8.2,15.2,22.5,19.3,26.1,123000,106000,143000
adults,Mood and/or anxiety disorder,2014,Quintile 2,15.9,14,18.1,12.9,10.5,15.8,18.7,16.3,21.3,117000,102000,132000
adults,Mood and/or anxiety disorder,2014,Quintile 3,17.4,15.6,19.5,9.6,7.6,12,24.7,21.9,27.7,131000,117000,146000
adults,Mood and/or anxiety disorder,2014,Quintile 4,18.4,16.3,20.7,12.9,10.4,16,23.1,20.6,25.9,134000,119000,151000
adults,Mood and/or anxiety disorder,2014,Quintile 5,18.7,16.9,20.7,14.5,11.9,17.5,22.7,20.2,25.4,131000,118000,145000
adults,Mood and/or anxiety disorder,2015,Total,18.8,17.9,19.8,13.8,12.7,15.1,23.6,22.4,24.8,704000,671000,739000
adults,Mood and/or anxiety disorder,2015,15-24,11.9,10.1,14.1,6.5,4.6,9.2,17.7,14.6,21.4,79000,67000,94000
adults,Mood and/or anxiety disorder,2015,25-34,18.3,16.5,20.3,12.1,9.6,15,24.3,21.7,27.1,114000,103000,126000
adults,Mood and/or anxiety disorder,2015,35-44,22.2,20,24.4,15.9,13.5,18.7,27.9,24.9,31.1,129000,116000,142000
adults,Mood and/or anxiety disorder,2015,45-54,23.5,21.1,26.1,20.2,16.6,24.4,26.6,23.9,29.4,149000,134000,165000
adults,Mood and/or anxiety disorder,2015,55-64,20.3,18.2,22.5,15.7,13,18.7,24.6,21.6,27.9,111000,1.00E+05,123000
adults,Mood and/or anxiety disorder,2015,65-74,19.5,17.8,21.4,14.5,11.9,17.6,24.3,21.2,27.7,78000,71000,85000
adults,Mood and/or anxiety disorder,2015,75+,15.2,12.6,18.2,13.3,9.7,18,16.7,13.6,20.2,44000,37000,53000
adults,Mood and/or anxiety disorder,2015,Maori,19.8,17.8,21.9,14.8,12.6,17.3,24.3,21.5,27.4,96000,86000,106000
adults,Mood and/or anxiety disorder,2015,Pacific,9,7.3,11,5.3,3.2,8.7,12,9.3,15.4,20000,16000,25000
adults,Mood and/or anxiety disorder,2015,Asian,6.1,4.7,8,4,2.3,6.4,8.4,6.1,11.6,28000,21000,36000
adults,Mood and/or anxiety disorder,2015,European/Other,21.9,20.8,23,16.3,14.8,17.8,27.1,25.7,28.6,629000,598000,661000
adults,Mood and/or anxiety disorder,2015,Quintile 1,17.9,15.4,20.6,13.7,10.6,17.5,21.9,18.8,25.5,134000,115000,154000
adults,Mood and/or anxiety disorder,2015,Quintile 2,18.5,16.5,20.8,13.4,10.9,16.4,23.6,20.4,27.1,141000,125000,158000
adults,Mood and/or anxiety disorder,2015,Quintile 3,18.7,16.9,20.8,13,11,15.3,24.7,22,27.5,143000,129000,159000
adults,Mood and/or anxiety disorder,2015,Quintile 4,19.4,17.7,21.2,13.7,11.4,16.4,24.1,22.1,26.2,147000,134000,160000
adults,Mood and/or anxiety disorder,2015,Quintile 5,19.7,17.5,22,15.5,12.8,18.5,23.5,20.7,26.6,140000,125000,157000
adults,Mood and/or anxiety disorder,2016,Total,19.9,19,20.9,15.1,13.9,16.5,24.5,23.2,25.8,764000,727000,802000
adults,Mood and/or anxiety disorder,2016,15-24,14.3,12.3,16.6,10.2,7.8,13.3,18.7,15.5,22.5,96000,83000,111000
adults,Mood and/or anxiety disorder,2016,25-34,19.3,17,21.8,13.9,10.8,17.6,24.5,21.5,27.8,128000,112000,144000
adults,Mood and/or anxiety disorder,2016,35-44,21,19,23.2,16.2,13.4,19.3,25.5,22.4,28.8,122000,110000,135000
adults,Mood and/or anxiety disorder,2016,45-54,22.9,20.9,25.1,18.6,15.8,21.7,27,24,30.2,146000,133000,160000
adults,Mood and/or anxiety disorder,2016,55-64,23.1,20.8,25.7,18.8,15.6,22.4,27.3,24,30.7,130000,117000,145000
adults,Mood and/or anxiety disorder,2016,65-74,21.6,19.2,24.3,16.1,13.3,19.4,26.9,23.4,30.7,89000,79000,1.00E+05
adults,Mood and/or anxiety disorder,2016,75+,17.3,14.8,20.2,12.3,9.5,15.9,21.2,17.7,25.1,52000,45000,61000
adults,Mood and/or anxiety disorder,2016,Maori,20.2,18.3,22.2,14.9,12.4,17.8,25,22.7,27.5,99000,90000,109000
adults,Mood and/or anxiety disorder,2016,Pacific,8.8,7,11,6.1,4,9.2,11.3,8.5,14.8,21000,16000,26000
adults,Mood and/or anxiety disorder,2016,Asian,5.8,4.5,7.6,4,2.1,6.7,8,5.7,11,29000,22000,37000
adults,Mood and/or anxiety disorder,2016,European/Other,23.5,22.3,24.7,18.1,16.6,19.6,28.5,26.8,30.3,687000,652000,724000
adults,Mood and/or anxiety disorder,2016,Quintile 1,17.3,14.9,20,12.9,9.8,16.9,21.6,18.6,24.9,133000,115000,154000
adults,Mood and/or anxiety disorder,2016,Quintile 2,17.9,15.9,20.2,14.4,12,17.2,21.5,18.3,25,139000,123000,156000
adults,Mood and/or anxiety disorder,2016,Quintile 3,20.6,18.6,22.8,15.2,13.1,17.6,25.8,22.8,28.9,160000,145000,178000
adults,Mood and/or anxiety disorder,2016,Quintile 4,21.8,19.7,24.1,16.1,13.5,19,27.4,24.5,30.5,170000,154000,188000
adults,Mood and/or anxiety disorder,2016,Quintile 5,22.1,20,24.4,17.4,14.7,20.5,26.2,23.5,29.1,161000,146000,177000
adults,Mood disorder (depression and/or bipolar),2011,Total,14.4,13.5,15.3,10.4,9.4,11.6,18.1,16.8,19.4,502000,472000,534000
adults,Mood disorder (depression and/or bipolar),2011,15-24,8.4,6.7,10.4,5.9,3.9,8.7,10.9,8.5,14,52000,42000,65000
adults,Mood disorder (depression and/or bipolar),2011,25-34,14.8,12.7,17.1,10.8,8.2,13.9,18.5,15.7,21.7,80000,69000,93000
adults,Mood disorder (depression and/or bipolar),2011,35-44,16.7,14.7,18.9,11.2,8.4,14.6,21.7,19,24.7,101000,89000,114000
adults,Mood disorder (depression and/or bipolar),2011,45-54,17.3,15.4,19.4,13.7,11.2,16.7,20.7,17.9,23.7,108000,95000,121000
adults,Mood disorder (depression and/or bipolar),2011,55-64,16.3,14,18.9,13,10.1,16.5,19.5,16.4,23,82000,70000,95000
adults,Mood disorder (depression and/or bipolar),2011,65-74,15.6,13.2,18.2,10.4,7.9,13.6,20.4,16.8,24.5,52000,44000,61000
adults,Mood disorder (depression and/or bipolar),2011,75+,10.4,8.5,12.6,6.2,4.2,9.1,13.5,10.6,16.9,27000,22000,33000
adults,Mood disorder (depression and/or bipolar),2011,Maori,15.3,13.3,17.5,10.7,8.3,13.6,19.4,16.6,22.7,68000,59000,78000
adults,Mood disorder (depression and/or bipolar),2011,Pacific,5.2,3.8,7.1,4.4,2.2,7.7,5.9,4.2,8.4,11000,8000,14000
adults,Mood disorder (depression and/or bipolar),2011,Asian,4.2,2.7,6.1,1.6,0.6,3.5,6.4,4.1,10.1,15000,10000,23000
adults,Mood disorder (depression and/or bipolar),2011,European/Other,16.4,15.4,17.4,12,10.8,13.3,20.6,19.1,22.1,451000,423000,480000
adults,Mood disorder (depression and/or bipolar),2011,Quintile 1,12.3,10.4,14.4,9.8,7.4,12.7,14.8,12,18.2,88000,75000,104000
adults,Mood disorder (depression and/or bipolar),2011,Quintile 2,13.5,11.7,15.5,9.2,7.3,11.5,17.9,15.2,21,96000,83000,110000
adults,Mood disorder (depression and/or bipolar),2011,Quintile 3,14.9,13.1,16.9,9.3,7.4,11.7,20.1,17.1,23.4,104000,92000,118000
adults,Mood disorder (depression and/or bipolar),2011,Quintile 4,16.3,14.4,18.5,10.7,8.6,13.3,21.2,18.3,24.5,114000,1.00E+05,129000
adults,Mood disorder (depression and/or bipolar),2011,Quintile 5,15,13.2,17.1,13.7,11.4,16.4,16.1,13.7,18.9,1.00E+05,87000,114000
adults,Mood disorder (depression and/or bipolar),2012,Total,14.6,13.8,15.4,11.3,10.3,12.3,17.7,16.6,18.9,514000,485000,544000
adults,Mood disorder (depression and/or bipolar),2012,15-24,8.8,6.8,11.4,6,3.8,9.3,11.8,9.2,14.9,55000,43000,71000
adults,Mood disorder (depression and/or bipolar),2012,25-34,15.2,13.3,17.3,11.9,9.3,15.2,18.2,15.7,21.1,83000,73000,94000
adults,Mood disorder (depression and/or bipolar),2012,35-44,16.1,14.1,18.3,11.9,9.2,15.2,19.9,17,23.2,96000,84000,109000
adults,Mood disorder (depression and/or bipolar),2012,45-54,17.4,15.6,19.5,12.5,10.3,15.2,22,19.5,24.8,109000,97000,121000
adults,Mood disorder (depression and/or bipolar),2012,55-64,17.6,15.7,19.7,14.2,11.7,17.2,20.8,18,24,90000,80000,101000
adults,Mood disorder (depression and/or bipolar),2012,65-74,15.2,13.1,17.5,13,10,16.8,17.2,14,20.9,54000,46000,62000
adults,Mood disorder (depression and/or bipolar),2012,75+,10.3,8.6,12.3,10.3,7.6,13.8,10.3,8.2,12.9,27000,23000,33000
adults,Mood disorder (depression and/or bipolar),2012,Maori,14.2,12.4,16.2,9.6,7.4,12.4,18.4,15.7,21.3,64000,56000,74000
adults,Mood disorder (depression and/or bipolar),2012,Pacific,4.4,2.7,6.8,1.6,0.6,3.6,6.8,4.2,10.9,9000,5000,13000
adults,Mood disorder (depression and/or bipolar),2012,Asian,5.5,3.9,7.6,3.1,1.7,5.1,8.1,5,12.6,21000,15000,29000
adults,Mood disorder (depression and/or bipolar),2012,European/Other,16.9,15.9,18,13.3,11.9,14.8,20.3,19,21.6,458000,429000,487000
adults,Mood disorder (depression and/or bipolar),2012,Quintile 1,13.5,11.5,15.7,10.4,8,13.5,16.4,13.8,19.3,96000,83000,112000
adults,Mood disorder (depression and/or bipolar),2012,Quintile 2,12.4,10.5,14.6,9.5,7.7,11.7,15.3,12.6,18.5,90000,76000,106000
adults,Mood disorder (depression and/or bipolar),2012,Quintile 3,13.7,12.2,15.4,10.4,8.4,12.8,16.9,14.6,19.5,99000,87000,111000
adults,Mood disorder (depression and/or bipolar),2012,Quintile 4,17.5,15.5,19.6,13.8,11.6,16.4,20.8,18.4,23.5,123000,110000,139000
adults,Mood disorder (depression and/or bipolar),2012,Quintile 5,16.1,13.9,18.5,12.4,10,15.4,19,16.2,22.3,106000,91000,122000
adults,Mood disorder (depression and/or bipolar),2013,Total,15.8,15,16.6,11.7,10.7,12.8,19.6,18.3,20.8,564000,535000,593000
adults,Mood disorder (depression and/or bipolar),2013,15-24,9,7.3,11,6.4,4,10.2,11.7,9.4,14.4,57000,46000,70000
adults,Mood disorder (depression and/or bipolar),2013,25-34,15.4,13.3,17.7,10.4,8,13.4,20.1,17.1,23.5,86000,75000,99000
adults,Mood disorder (depression and/or bipolar),2013,35-44,18,15.9,20.3,14.4,11.4,18,21.2,18.5,24.3,106000,93000,119000
adults,Mood disorder (depression and/or bipolar),2013,45-54,20.6,18.3,23.2,16.8,14.1,19.7,24.3,20.8,28.1,130000,115000,146000
adults,Mood disorder (depression and/or bipolar),2013,55-64,18.7,16.7,20.8,13.6,11,16.6,23.5,20.6,26.7,97000,87000,108000
adults,Mood disorder (depression and/or bipolar),2013,65-74,14.9,13.1,16.9,10.6,8.1,13.6,19,16.2,22.1,55000,49000,63000
